       SUBJ    BLDG    SAT    BTY    FNC    INT    DIG    CST    FSH                                                                                                                                                                                              
          1       1      2      4      2      3      4      7      3                                                                    
          1       2      5      3      3      4      3      3      7                                                                    
          1       3      6      6      7      7      6      6      4                                                                    
          1       4      5      7      3      2      6      7      7                                                                    
          1       5      7      8      7      7      8      7      6                                                                    
          2       1      5      3      4      7      4      3      3                                                                    
          2       2      6      8      7      4      8      8      3                                                                    
          2       3      6      4      8      5      4      6      4                                                                    
          2       4      7      8      8      6      8      8      5                                                                    
          2       5      4      4      3      7      3      3      3                                                                    
          3       1      4      4      4      7      3      3      4                                                                    
          3       2      7      8      7      7      8      8      4                                                                    
          3       3      3      7      7      3      7      7      8                                                                    
          3       4      6      8      8      6      8      9      4                                                                    
          3       5      7      8      4      4      4      5      8                                                                    
          4       1      6      6      4      5      5      5      3                                                                    
          4       2      4      4      4      5      5      5      6                                                                    
          4       3      7      5      8      6      6      6      5                                                                    
          4       4      5      3      4      3      4      5      6                                                                    
          4       5      7      7      6      8      6      6      5                                                                    
          5       1      2      1      3      3      2      2      5                                                                    
          5       2      6      7      6      6      6      6      5                                                                    
          5       3      4      4      3      5      5      3      4                                                                    
          5       4      7      5      7      7      7      8      5                                                                    
          5       5      5      4      4      5      5      4      6                                                                    
          6       1      4      3      5      5      4      3      3                                                                    
          6       2      6      4      6      6      6      7      4                                                                    
          6       3      7      5      7      6      6      6      8                                                                    
          6       4      5      6      7      5      7      8      3                                                                    
          6       5      3      2      5      4      4      4      5                                                                    
          7       1      7      7      6      8      8      7      3                                                                    
          7       2      5      2      6      2      3      5      6                                                                    
          7       3      5      3      7      3      4      5      5                                                                    
          7       4      7      7      4      7      8      7      7                                                                    
          7       5      4      5      5      7      6      4      5                                                                    
          8       1      3      3      6      3      3      2      6                                                                    
          8       2      7      8      7      8      8      6      4                                                                    
          8       3      6      1      5      3      4      5      7                                                                    
          8       4      7      7      6      6      6      6      4                                                                    
          8       5      6      5      5      6      6      5      7                                                                    
          9       1      6      3      6      7      5      4      5                                                                    
          9       2      7      7      7      7      7      7      6                                                                    
          9       3      8      8      6      8      8      6      7                                                                    
          9       4      6      6      8      7      7      6      6                                                                    
          9       5      3      5      5      4      4      5      5                                                                    
         10       1      5      7      3      5      5      6      4                                                                    
         10       2      3      6      5      2      4      6      7                                                                    
         10       3      3      6      7      5      6      4      3                                                                    
         10       4      5      8      2      3      3      5      6                                                                    
         10       5      6      8      3      6      6      6      5                                                                    
         11       1      3      3      4      3      2      2      5                                                                    
         11       2      6      8      3      6      6      5      5                                                                    
         11       3      4      3      7      4      3      3      6                                                                    
         11       4      4      4      6      3      5      8      2                                                                    
         11       5      3      6      5      2      1      3      8                                                                    
         12       1      3      6      5      4      2      3      2                                                                    
         12       2      6      7      6      7      5      7      4                                                                    
         12       3      7      8      6      7      5      5      7                                                                    
         12       4      5      6      6      4      7      8      3                                                                    
         12       5      3      3      4      3      2      4      6                                                                    
         13       1      4      8      4      4      6      8      7                                                                    
         13       2      1      1      6      2      2      2      2                                                                    
         13       3      7      5      7      6      6      6      6                                                                    
         13       4      1      2      4      3      3      7      6                                                                    
         13       5      6      6      7      7      7      6      6                                                                    
         14       1      4      4      6      3      3      2      7                                                                    
         14       2      6      8      4      6      6      6      5                                                                    
         14       3      8      7      8      7      6      6      7                                                                    
         14       4      5      6      6      6      5      5      5                                                                    
         14       5      1      1      1      1      1      2      6                                                                    
         15       1      4      5      5      6      3      3      3                                                                    
         15       2      4      4      6      6      5      5      4                                                                    
         15       3      4      5      3      3      3      3      3                                                                    
         15       4      5      6      5      4      7      7      3                                                                    
         15       5      5      3      5      4      3      4      5                                                                    
         16       1      8      9      5      9      7      8      1                                                                    
         16       2      5      3      6      2      2      9      9                                                                    
         16       3      9      9      9      9      7      9      4                                                                    
         16       4      9      7      3      6      5      9      8                                                                    
         16       5      5      7      7      6      5      5      4                                                                    
         17       1      5      3      3      3      3      5      7                                                                    
         17       2      5      8      8      7      7      7      2                                                                    
         17       3      6      5      5      5      2      8      8                                                                    
         17       4      7      7      8      7      8      8      2                                                                    
         17       5      5      3      2      5      2      7      9                                                                    
         18       1      5      3      7      5      4      5      3                                                                    
         18       2      4      6      8      6      7      7      1                                                                    
         18       3      6      6      7      6      6      8      4                                                                    
         18       4      6      7      9      7      8      8      1                                                                    
         18       5      6      4      8      5      2      6      8                                                                    
         19       1      2      7      2      2      7      7      2                                                                    
         19       2      5      2      8      2      5      4      8                                                                    
         19       3      6      8      8      7      7      3      2                                                                    
         19       4      2      7      2      2      2      8      2                                                                    
         19       5      8      8      7      7      2      5      2                                                                    
         20       1      2      2      6      2      2      3      8                                                                    
         20       2      8      7      8      7      5      2      2                                                                    
         20       3      7      8      8      8      8      7      8                                                                    
         20       4      8      8      8      7      8      8      2                                                                    
         20       5      2      2      1      2      3      2      8                                                                    
         21       1      8      7      2      8      6      4      2                                                                    
         21       2      8      8      8      8      8      8      2                                                                    
         21       3      8      8      8      8      8      3      8                                                                    
         21       4      8      9      9      9      9      9      1                                                                    
         21       5      3      5      1      2      2      2      8                                                                    
         22       1      5      7      8      4      7      7      2                                                                    
         22       2      4      2      3      2      1      1      9                                                                    
         22       3      4      5      7      6      7      6      4                                                                    
         22       4      3      3      2      2      3      4      7                                                                    
         22       5      5      5      7      7      6      6      6                                                                    
         23       1      6      3      2      8      2      2      9                                                                    
         23       2      6      8      7      9      6      7      1                                                                    
         23       3      6      5      4      7      4      4      9                                                                    
         23       4      6      7      8      7      8      8      3                                                                    
         23       5      4      3      3      2      3      3      8                                                                    
         24       1      3      4      5      6      3      3      5                                                                    
         24       2      5      5      6      6      5      5      6                                                                    
         24       3      8      8      8      7      6      7      8                                                                    
         24       4      5      6      8      4      6      7      9                                                                    
         24       5      6      4      7      9      5      5      8                                                                    
         25       1      6      7      6      6      8      8      4                                                                    
         25       2      2      2      5      2      2      3      7                                                                    
         25       3      5      5      7      7      4      4      5                                                                    
         25       4      7      5      8      8      3      3      6                                                                    
         25       5      6      6      5      4      6      4      5                                                                    
         26       1      2      3      5      5      2      2      7                                                                    
         26       2      7      7      7      7      6      6      5                                                                    
         26       3      4      3      5      4      3      5      5                                                                    
         26       4      7      5      7      8      6      6      6                                                                    
         26       5      2      3      4      4      3      4      7                                                                    
         27       1      7      4      7      7      6      5      7                                                                    
         27       2      7      7      7      7      7      6      5                                                                    
         27       3      7      5      6      7      4      5      6                                                                    
         27       4      7      6      7      7      7      6      5                                                                    
         27       5      7      6      6      7      5      6      7                                                                    
         28       1      8      8      6      7      6      7      3                                                                    
         28       2      5      5      5      5      5      4      8                                                                    
         28       3      5      6      5      3      6      4      3                                                                    
         28       4      6      7      5      5      5      6      7                                                                    
         28       5      3      6      3      3      4      4      3                                                                    
         29       1      2      2      2      4      3      1      5                                                                    
         29       2      6      6      5      6      6      6      3                                                                    
         29       3      7      6      5      6      7      5      8                                                                    
         29       4      4      7      7      6      8      5      4                                                                    
         29       5      5      4      3      3      5      4      7                                                                    
         30       1      1      4      1      1      1      1      4                                                                    
         30       2      5      4      7      5      5      6      3                                                                    
         30       3      5      5      4      4      4      3      6                                                                    
         30       4      6      6      7      7      6      7      3                                                                    
         30       5      6      4      3      3      4      4      6                                                                    
         31       1      9      8      8      5      5      8      1                                                                    
         31       2      7      4      8      2      4      7      9                                                                    
         31       3      8      6      8      5      8      3      2                                                                    
         31       4      2      3      3      3      2      3      2                                                                    
         31       5      8      6      7      9      3      4      8                                                                    
         32       1      6      3      7      2      4      6      9                                                                    
         32       2      9      9      9      8      5      8      1                                                                    
         32       3      1      2      9      1      2      7      9                                                                    
         32       4      8      9      9      9      9      9      1                                                                    
         32       5      4      3      5      7      2      1      9                                                                    
         33       1      2      1      8      1      2      2      9                                                                    
         33       2      6      6      9      9      9      8      1                                                                    
         33       3      8      9      8      9      4      4      9                                                                    
         33       4      9      9      9      9      9      9      1                                                                    
         33       5      8      9      9      1      3      9      9                                                                    
         34       1      8      7      3      3      6      8      3                                                                    
         34       2      4      8      8      2      6      5      8                                                                    
         34       3      3      2      7      7      2      3      2                                                                    
         34       4      3      3      3      3      7      8      8                                                                    
         34       5      9      8      6      8      8      8      8                                                                    
         35       1      2      2      8      2      2      2      6                                                                    
         35       2      7      8      4      8      8      7      8                                                                    
         35       3      2      2      8      3      3      2      8                                                                    
         35       4      9      9      7      7      8      9      9                                                                    
         35       5      2      2      6      2      2      3      8                                                                    
         36       1      2      4      8      2      2      2      2                                                                    
         36       2      9      9      7      8      9      9      8                                                                    
         36       3      1      2      8      2      2      2      2                                                                    
         36       4      8      7      7      8      8      8      7                                                                    
         36       5      3      7      7      2      3      7      6                                                                    
         37       1      7      8      5      8      2      5      3                                                                    
         37       2      2      2      3      3      7      8      8                                                                    
         37       3      3      3      3      3      3      3      3                                                                    
         37       4      3      2      2      2      6      7      7                                                                    
         37       5      6      7      3      6      3      3      3                                                                    
         38       1      3      3      5      3      4      2      7                                                                    
         38       2      7      9      3      9      6      6      3                                                                    
         38       3      3      3      3      3      3      3      7                                                                    
         38       4      2      6      3      3      7      4      2                                                                    
         38       5      2      3      2      2      2      3      7                                                                    
         39       1      3      5      3      3      3      3      3                                                                    
         39       2      3      4      3      6      3      3      3                                                                    
         39       3      5      8      4      4      7      7      7                                                                    
         39       4      3      8      4      3      8      7      3                                                                    
         39       5      3      7      3      3      6      3      8                                                                    
         40       1      9      9      9      8      9      9      2                                                                    
         40       2      5      7      8      2      4      6      7                                                                    
         40       3      8      6      9      7      9      8      7                                                                    
         40       4      7      7      7      5      6      8      8                                                                    
         40       5      8      8      9      8      7      8      8   
